Full Title,Car Name,URL,Price (in Lakhs),Location,City,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine,Transmission,Power,Drive Type,Mileage,Year of Manufacture
2019 BMW X3 xDrive 20d Luxury Line,BMW X3,https://www.cardekho.com/used-car-details/used-Bmw-x3-xdrive-20d-luxury-line-cars-Mumbai_fbab68fa-648e-4fd4-874f-6ae2d3dcada9.htm,42.0,"Bazargate, Mumbai",Mumbai,Aug 2019,Comprehensive,Diesel,5,53000,Mumbai,First Owner,1995,Automatic,187.7,AWD,N/A,2019
2020 Volvo XC60 Inscription D5 BSIV,Volvo XC60,https://www.cardekho.com/used-car-details/used-Volvo-xc60-inscription-d5-bsiv-cars-Mumbai_de8da496-194d-4be9-8065-7c804c02a809.htm,45.75,"Matunga West, Mumbai",Mumbai,Aug 2020,Comprehensive,Diesel,5,41000,Navi Mumbai,First Owner,1969,Automatic,235.0,AWD,N/A,2020
2017 BMW X3 xDrive20d Expedition,BMW X3,https://www.cardekho.com/used-car-details/used-Bmw-x3-xdrive20d-expedition-cars-Mumbai_4e6e5344-8996-4704-b35d-5e0d277d6317.htm,31.0,"Santacruz(west) S.o, Mumbai",Mumbai,Sept 2017,Comprehensive,Diesel,5,53100,Mumbai,First Owner,1995,Automatic,190.0,4WD,N/A,2017
2015 Honda City i VTEC CVT VX,Honda City,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-Mumbai_53597807-6c53-40f9-a0e0-42fb778a1ad8.htm?adId=1087&adType=41,6.25,"Vileparle(west) S.o, Mumbai",Mumbai,Feb 2015,Zero Dep,Petrol,5,46500,Mumbai,First Owner,1497,Automatic,117.3,N/A,18.0,2015
2018 Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,Ford Ecosport,https://www.cardekho.com/buy-used-car-details/used-Ford-ecosport-15-petrol-titanium-plus-at-bsiv-cars-Thane_4eb9c48d-fded-4a47-a6e4-2f5cfc23826f.htm,7.89,"West, Thane",Thane,Aug 2018,Comprehensive,Petrol,5,14840,Mumbai,First Owner,1497,Automatic,121.36,FWD,14.8,2018
2019 Tata Nexon 1.2 Revotron XMA,Tata Nexon,https://www.cardekho.com/used-car-details/used-Tata-nexon-12-revotron-xma-cars-Mumbai_17dd56b4-397e-4e0a-a89f-914607c4e1fb.htm,7.15,"Borivali West, Mumbai",Mumbai,Jun 2019,Comprehensive,Petrol,5,57000,Mumbai,First Owner,1198,Automatic,108.5,FWD,17.0,2019
2018 Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,Ford Ecosport,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-petrol-titanium-plus-at-bsiv-cars-Thane_a0205632-3963-4dd4-a898-d9715b73245c.htm,7.25,"West, Thane",Thane,Oct 2018,Comprehensive,Petrol,5,45311,Mumbai,First Owner,1497,Automatic,121.36,FWD,14.8,2018
2022 BMW 6 Series GT 630d M Sport,BMW 6,https://www.cardekho.com/used-car-details/used-Bmw-6-series-gt-630d-m-sport-cars-Mumbai_6ac49e13-94e1-456d-9f09-387cdd0caeb3.htm?adId=105&adType=41,59.9,"Vileparle(west) S.o, Mumbai",Mumbai,Apr 2022,Zero Dep,Diesel,4,31700,Mumbai,First Owner,2993,Automatic,261.4,N/A,17.09,2022
2017 Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,Ford Ecosport,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-petrol-titanium-plus-at-bsiv-cars-Mumbai_e1940b5a-24aa-46fd-a5e6-3b4ff346dc1d.htm,6.25,"Kurla, Mumbai",Mumbai,Oct 2017,Expired,Petrol,5,57000,Mumbai,First Owner,1497,Automatic,121.36,FWD,14.8,2017
2016 Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,Ford Ecosport,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-ti-vct-at-titanium-bsiv-cars-Thane_8c32fe15-5d52-4bb6-8219-82ee7f5698cf.htm,5.15,"West, Thane",Thane,Apr 2016,Third Party,Petrol,5,59001,Thane,First Owner,1499,Automatic,110.4,FWD,15.63,2016
