Full Title,Car Name,URL,Price (in Lakhs),Location,City,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine,Transmission,Power,Drive Type,Mileage,Year of Manufacture
2020 BMW X3 xDrive 30i Luxury Line,BMW X3,https://www.cardekho.com/used-car-details/used-Bmw-x3-xdrive-30i-luxury-line-cars-Gurgaon_a0fc87c7-db1f-4bff-a73c-e27ee8f367f3.htm?adId=939&adType=1,44.0,"Sector 21e, Gurgaon",Gurgaon,Dec 2020,Expired,Petrol,5,39500,HR98,First Owner,N/A,Automatic,N/A,N/A,N/A,2020
2024 BMW X5 xDrive40i M Sport,BMW X5,https://www.cardekho.com/used-car-details/used-Bmw-x5-xdrive40i-m-sport-cars-New-Delhi_ae550a42-8429-496a-bf0b-34b85d715ac5.htm?adId=1592&adType=41,110.0,"Patparganj, New Delhi",New Delhi,Jul 2024,Expired,Petrol,5,3500,Jalandhar,First Owner,2998,Automatic,375.48,4WD,N/A,2024
2020 Kia Seltos HTK Diesel,Kia Seltos,https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-diesel-cars-New-Delhi_a3c02abf-aa08-48a6-9704-2f096ed5d733.htm,8.99,"Chittranjan Park, New Delhi",New Delhi,Jun 2020,Expired,Diesel,5,34500,Gurgaon,First Owner,1493,Manual,113.43,FWD,20.8,2020
2024 Kia Seltos HTX IVT,Kia Seltos,https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-cars-New-Delhi_a5a57a84-b286-47e8-bd9f-bdf958173a6e.htm,17.4,"Karol Bagh, New Delhi",New Delhi,May 2024,Comprehensive,Petrol,5,5700,New Delhi,First Owner,1497,Automatic,113.42,2WD,17.7,2024
2022 Hyundai Venue S BSVI,Hyundai Venue,https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-bsvi-cars-New-Delhi_6bb4524c-264e-4346-86f3-4fd212d30371.htm,8.0,"Preet Vihar, New Delhi",New Delhi,Apr 2022,Comprehensive,Petrol,5,12000,New Delhi,First Owner,1197,Manual,81.8,N/A,16.0,2022
2023 Mercedes-Benz G-Class 400d Adventure Edition,Mercedes-Benz G-Class,https://www.cardekho.com/used-car-details/used-Mercedes-benz-g-class-400d-adventure-edition-cars-New-Delhi_945d3b68-5939-42f9-aa19-dee80f71fecf.htm?adId=1603&adType=41,285.0,"Tilak Nagar East, New Delhi",New Delhi,Nov 2023,Comprehensive,Diesel,5,6100,Lucknow,First Owner,2925,Automatic,325.86,AWD,10.0,2023
2021 Renault Kiger RXT,Renault Kiger,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxt-cars-New-Delhi_accd4c6b-c759-4625-8f60-cbe7f7133b06.htm,5.5,"Preet Vihar, New Delhi",New Delhi,Sept 2021,Comprehensive,Petrol,5,59000,New Delhi,First Owner,999,Manual,71.01,N/A,19.17,2021
2025 Mercedes-Benz S-Class S450 4Matic,Mercedes-Benz S-Class,https://www.cardekho.com/used-car-details/used-Mercedes-benz-s-class-s450-4matic-cars-New-Delhi_2f4ad7a2-6501-4436-b9f7-db54506f5347.htm,155.0,"Naraina, New Delhi",New Delhi,N/A,Expired,Petrol,5,5800,N/A,N/A,2999,Automatic,362.07,AWD,N/A,2025
N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022 Honda Amaze 2nd Gen VX CVT,Honda Amaze,https://www.cardekho.com/used-car-details/used-Honda-amaze-2nd-gen-vx-cvt-cars-New-Delhi_cb2d1a0d-21a8-473f-8944-4d174deaa927.htm,8.27,"Shakti Nagar, New Delhi",New Delhi,Jul 2022,Comprehensive,Petrol,5,18000,New Delhi,First Owner,1199,Automatic,88.5,N/A,18.3,2022
2021 Mercedes-Benz AMG G 63 4MATIC,Mercedes-Benz AMG,https://www.cardekho.com/used-car-details/used-Mercedes-benz-amg-g-63-4matic-cars-New-Delhi_d40e321b-b2ef-4400-b7f4-dc0954cab92d.htm?adId=1676&adType=41,290.0,"Patparganj, New Delhi",New Delhi,Sept 2021,Expired,Petrol,5,35000,Jalandhar,First Owner,3982,Automatic,576.63,4WD,N/A,2021
2022 Audi Q8 Celebration Edition BSVI,Audi Q8,https://www.cardekho.com/used-car-details/used-Audi-q8-celebration-edition-bsvi-cars-New-Delhi_fa4f55e1-f34e-4794-a035-f1ca88df49cd.htm,85.0,"Naraina, New Delhi",New Delhi,Jul 2022,Comprehensive,Petrol,5,10000,Chandigarh,First Owner,2995,Automatic,335.25,AWD,N/A,2022
2022 Renault Kiger RXZ AMT,Renault Kiger,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxz-amt-cars-New-Delhi_5bd07da1-69f2-4c88-953e-f61dc8b14afc.htm,7.2,"Preet Vihar, New Delhi",New Delhi,Aug 2022,Comprehensive,Petrol,5,31000,Noida,First Owner,999,Automatic,71.01,N/A,19.03,2022
2024 Hyundai Venue S Opt Turbo DCT,Hyundai Venue,https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-opt-turbo-dct-cars-New-Delhi_3f471b7b-0fcc-4cbf-96b2-b9042c80a0c1.htm,13.25,"Palam Village, New Delhi",New Delhi,Apr 2024,Comprehensive,Petrol,5,1800,New Delhi,First Owner,998,Automatic,118.0,FWD,18.31,2024
2024 Land Rover Range Rover Velar Dynamic HSE,Land Rover,https://www.cardekho.com/used-car-details/used-Land-rover-range-rover-velar-dynamic-hse-cars-New-Delhi_7fbd6f9f-431e-4e80-bb8a-af150a7d3385.htm?adId=1591&adType=41,85.75,"Patparganj, New Delhi",New Delhi,Jul 2024,Expired,Petrol,5,11001,Ghaziabad,First Owner,1997,Automatic,246.74,AWD,N/A,2024
2013 Honda Amaze E i-Vtech,Honda Amaze,https://www.cardekho.com/used-car-details/used-Honda-amaze-e-i-vtech-cars-New-Delhi_1eb9967c-b0ad-4b22-8ce0-10a26ccd23a7.htm,2.35,"Ramesh Nagar, New Delhi",New Delhi,Aug 2013,Third Party,Petrol,5,32000,New Delhi,First Owner,1198,Manual,86.7,N/A,18.0,2013
2015 Ford Aspire 1.5 TDCi Trend,Ford Aspire,https://www.cardekho.com/used-car-details/used-Ford-aspire-15-tdci-trend-cars-New-Delhi_85b3a06a-c706-4767-baa2-1d6150e9a3f2.htm,2.7,"Preet Vihar, New Delhi",New Delhi,Dec 2015,Third Party,Diesel,5,61000,Gurgaon,First Owner,1498,Manual,99.0,N/A,25.83,2015
2024 Toyota Camry 2.5 Hybrid BSVI,Toyota Camry,https://www.cardekho.com/used-car-details/used-Toyota-camry-25-hybrid-bsvi-cars-New-Delhi_9b695827-b180-459b-a861-2be6891b2cec.htm,41.5,"Ashok Vihar, New Delhi",New Delhi,Jan 2024,Comprehensive,Petrol,5,4100,Gurgaon,First Owner,2487,Automatic,175.67,N/A,N/A,2024
2020 Toyota Fortuner 2.8 4WD AT,Toyota Fortuner,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-cars-New-Delhi_43c53c8e-3b35-4bd7-87e0-ddbad0a1e5fd.htm?adId=1670&adType=41,32.9,"Naraina, New Delhi",New Delhi,Jul 2020,Comprehensive,Diesel,7,50000,New Delhi,Second Owner,2755,Automatic,174.5,4WD,15.04,2020
2020 Hyundai Creta 1.4 E Plus,Hyundai Creta,https://www.cardekho.com/used-car-details/used-Hyundai-creta-14-e-plus-cars-New-Delhi_8d720c26-200f-47ef-817e-d0150aadad1a.htm,8.5,"Bengali Market, New Delhi",New Delhi,Jan 2021,Comprehensive,Diesel,5,32000,nurpur,First Owner,1396,Manual,88.7,FWD,22.1,2020
2018 Honda Amaze V CVT Petrol BSIV,Honda Amaze,https://www.cardekho.com/used-car-details/used-Honda-amaze-v-cvt-petrol-bsiv-cars-New-Delhi_7b50e6b5-a7c6-4a48-bc61-dc4f862ebffd.htm,6.24,"Palam Village, New Delhi",New Delhi,Dec 2018,Comprehensive,Petrol,5,9000,New Delhi,First Owner,1199,Automatic,88.76,N/A,19.0,2018
2019 Maruti Swift AMT ZXI,Maruti Swift,https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-amt-zxi-cars-New-Delhi_9db11b4c-e9c4-4526-9afe-f4a853801d3f.htm,5.83,"Rohini Courts, New Delhi",New Delhi,Jul 2019,Comprehensive,Petrol,5,40632,New Delhi,First Owner,1197,Automatic,81.8,N/A,21.21,2019
2020 BMW X3 xDrive 20d Luxury Line,BMW X3,https://www.cardekho.com/used-car-details/used-Bmw-x3-xdrive-20d-luxury-line-cars-New-Delhi_63a2982c-ff00-4be4-a420-8ad400a3cea0.htm?adId=1666&adType=41,34.75,"Naraina, New Delhi",New Delhi,Jul 2020,Expired,Diesel,5,76000,Gurgaon,First Owner,1995,Automatic,187.7,AWD,N/A,2020
2022 Maruti Ertiga VXI AT BSVI,Maruti Ertiga,https://www.cardekho.com/used-car-details/used-Maruti-ertiga-vxi-at-bsvi-cars-New-Delhi_91603949-4c74-420a-81b0-ad7abb53588d.htm,10.49,"Palam Village, New Delhi",New Delhi,Apr 2023,Comprehensive,Petrol,7,12000,New Delhi,First Owner,1462,Automatic,101.65,N/A,20.3,2022
2023 Porsche Macan Standard BSVI,Porsche Macan,https://www.cardekho.com/used-car-details/used-Porsche-macan-standard-bsvi-cars-New-Delhi_cb68668a-a795-4fa6-a2e1-d642ec8b98d1.htm,83.0,"Karol Bagh, New Delhi",New Delhi,Jun 2023,Comprehensive,Petrol,5,14500,Chandigarh,First Owner,N/A,Automatic,N/A,N/A,N/A,2023
2023 Maruti FRONX Sigma CNG,Maruti FRONX,https://www.cardekho.com/used-car-details/used-Maruti-fronx-sigma-cng-cars-New-Delhi_2da49fe4-24c5-4713-b5c5-f1fcf3bca73a.htm,8.6,"Preet Vihar, New Delhi",New Delhi,Nov 2023,Comprehensive,CNG,5,21000,New Delhi,First Owner,1197,Manual,76.43,FWD,N/A,2023
2019 Toyota Fortuner 2.8 2WD AT BSIV,Toyota Fortuner,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-2wd-at-bsiv-cars-New-Delhi_c797ec44-22bd-4192-8d38-0c0323ccde98.htm?adId=1668&adType=41,26.95,"Naraina, New Delhi",New Delhi,Jul 2019,Comprehensive,Diesel,7,85000,Gurgaon,Second Owner,2755,Automatic,174.5,RWD,12.9,2019
2019 Kia Seltos HTX Diesel,Kia Seltos,https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-diesel-cars-New-Delhi_7a2cd77c-a793-48b9-a1ea-d25c8a9c7636.htm,10.75,"Preet Vihar, New Delhi",New Delhi,Nov 2019,Expired,Diesel,5,55000,charkhi dadri,First Owner,1493,Manual,113.43,FWD,20.8,2019
2023 Toyota Rumion V AT,Toyota Rumion,https://www.cardekho.com/used-car-details/used-Toyota-rumion-v-at-cars-New-Delhi_41ce11f1-e8c2-4167-84bb-788b22b830df.htm,12.25,"Saraswati Vihar, New Delhi",New Delhi,Dec 2023,Comprehensive,Petrol,7,13000,Faridabad,First Owner,1462,Automatic,101.64,N/A,N/A,2023
2021 Audi Q8 Celebration Edition BSVI,Audi Q8,https://www.cardekho.com/used-car-details/used-Audi-q8-celebration-edition-bsvi-cars-New-Delhi_e71cfba5-d17f-400c-833f-f69af8a6979a.htm,79.75,"Patparganj, New Delhi",New Delhi,Aug 2021,Expired,Petrol,5,33212,Noida,Second Owner,2995,Automatic,335.25,AWD,N/A,2021
2015 Hyundai Elantra CRDi SX,Hyundai Elantra,https://www.cardekho.com/used-car-details/used-Hyundai-elantra-crdi-sx-cars-New-Delhi_95d51fad-af9a-49ac-bf05-2c690167ffa8.htm?adId=undefined&adType=41,3.78,New Delhi,New Delhi,2015,Expired,Diesel,5,160000,New Delhi,First Owner,1582,Manual,126.2,N/A,22.7,2015
2022 Kia Sonet HTX Turbo DCT BSVI,Kia Sonet,https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-dct-bsvi-cars-New-Delhi_5662e49f-5876-4e50-9ec8-ec05d0da085e.htm,10.4,"Preet Vihar, New Delhi",New Delhi,Apr 2022,Comprehensive,Petrol,5,34000,New Delhi,First Owner,998,Automatic,118.36,FWD,18.2,2022
2018 Maruti Baleno 1.2 Delta,Maruti Baleno,https://www.cardekho.com/used-car-details/used-Maruti-baleno-12-delta-cars-New-Delhi_161b9518-f72b-4d7d-956b-53dd318ae893.htm,5.2,"Preet Vihar, New Delhi",New Delhi,Sept 2018,Comprehensive,Petrol,5,36000,New Delhi,First Owner,1197,Manual,83.1,N/A,21.4,2018
2011 Hyundai i10 Era,Hyundai i10,https://www.cardekho.com/used-car-details/used-Hyundai-i10-era-cars-New-Delhi_07077e90-1443-45ba-be1f-dd2694295a85.htm,1.4,"Saket, New Delhi",New Delhi,Nov 2011,Expired,Petrol,5,83811,New Delhi,Second Owner,1086,Manual,68.05,N/A,19.81,2011
2014 Land Rover Range Rover 3.0 Diesel LWB Vogue BSIV,Land Rover,https://www.cardekho.com/used-car-details/used-Land-rover-range-rover-30-diesel-lwb-vogue-bsiv-cars-New-Delhi_fecc29d7-ae81-4ea4-abee-c3f3011214f1.htm?adId=undefined&adType=41,75.0,New Delhi,New Delhi,Apr 2015,Comprehensive,Diesel,5,73000,N/A,First Owner,2993,Automatic,254.7,4WD,N/A,2014
2024 Maruti Wagon R VXI CNG,Maruti Wagon,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-cng-cars-New-Delhi_607fd481-08dd-4d8d-a8eb-87519846694e.htm,6.45,"Saket, New Delhi",New Delhi,Jul 2024,Third Party,CNG,5,13000,Gurgaon,First Owner,998,Manual,55.92,N/A,N/A,2024
2020 Maruti Swift VXI,Maruti Swift,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-New-Delhi_3b6a30b0-e6c2-46e3-a661-a808da961b3b.htm,5.35,"Preet Vihar, New Delhi",New Delhi,Mar 2020,Comprehensive,Petrol,5,35000,New Delhi,First Owner,1197,Manual,81.8,N/A,21.21,2020
2013 Honda City V AT,Honda City,https://www.cardekho.com/used-car-details/used-Honda-city-v-at-cars-New-Delhi_d12b0a1b-e5e7-476d-b1ed-31cacaf0bbae.htm,3.8,"Preet Vihar, New Delhi",New Delhi,May 2013,Comprehensive,Petrol,5,74000,New Delhi,Second Owner,1497,Automatic,116.3,N/A,15.6,2013
2015 Renault Duster 110PS Diesel RxZ,Renault Duster,https://www.cardekho.com/used-car-details/used-Renault-duster-110ps-diesel-rxz-cars-New-Delhi_3f1e493a-74ae-4e03-ab31-6b01309686f3.htm?adId=undefined&adType=41,3.9,New Delhi,New Delhi,2015,Zero Dep,Diesel,5,94000,New Delhi,First Owner,1461,Manual,108.45,FWD,19.01,2015
2021 Mercedes-Benz GLS 400d 4MATIC BSVI,Mercedes-Benz GLS,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gls-400d-4matic-bsvi-cars-New-Delhi_a77b42d7-5c40-4374-bb3c-270be60ca9fd.htm,95.75,"Patparganj, New Delhi",New Delhi,Mar 2021,Expired,Diesel,7,53212,Lucknow,First Owner,2925,Automatic,325.86,AWD,N/A,2021
2023 Audi A6 45 TFSI Technology BSVI,Audi A6,https://www.cardekho.com/used-car-details/used-Audi-a6-45-tfsi-technology-bsvi-cars-New-Delhi_2f4afbbb-3749-40a4-9413-fdf4961b9377.htm,56.75,"Naraina, New Delhi",New Delhi,Mar 2023,Expired,Petrol,5,6000,New Delhi,First Owner,1984,Automatic,241.3,N/A,14.11,2023
2022 BMW X5 xDrive 30d xLine,BMW X5,https://www.cardekho.com/used-car-details/used-Bmw-x5-xdrive-30d-xline-cars-New-Delhi_a31b5dd3-0fc2-42a5-aa54-4c9e96375be1.htm,81.0,"Naraina, New Delhi",New Delhi,Aug 2022,Expired,Diesel,5,19000,Almora,First Owner,2993,Automatic,261.5,AWD,13.38,2022
2011 Mercedes-Benz CLS-Class 350 BE,Mercedes-Benz CLS-Class,https://www.cardekho.com/used-car-details/used-Mercedes-benz-cls-class-350-be-cars-New-Delhi_9fae0b9a-76df-42d4-9033-d3d039817cfc.htm?adId=undefined&adType=41,18.0,New Delhi,New Delhi,2011,Expired,Petrol,4,80000,New Delhi,Second Owner,3498,Automatic,301.8,RWD,N/A,2011
2023 Toyota Fortuner 4X2 AT,Toyota Fortuner,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-4x2-at-cars-New-Delhi_9e52c65b-2f1c-4889-a13d-b4c3875cf2a8.htm,36.5,"Dwarka Sector-6, New Delhi",New Delhi,May 2023,Comprehensive,Petrol,7,20000,HR98,First Owner,2694,Automatic,163.6,2WD,11.0,2023
2013 Honda Amaze E i-Vtech,Honda Amaze,https://www.cardekho.com/used-car-details/used-Honda-amaze-e-i-vtech-cars-New-Delhi_1eb9967c-b0ad-4b22-8ce0-10a26ccd23a7.htm,2.35,"Ramesh Nagar, New Delhi",New Delhi,Aug 2013,Third Party,Petrol,5,32000,New Delhi,First Owner,1198,Manual,86.7,N/A,18.0,2013
2023 Audi A6 45 TFSI Technology BSVI,Audi A6,https://www.cardekho.com/used-car-details/used-Audi-a6-45-tfsi-technology-bsvi-cars-New-Delhi_123cf71c-7fd9-4874-aff0-cb1ee80295c9.htm,54.0,"Dilshad Garden, New Delhi",New Delhi,Sept 2023,Comprehensive,Petrol,5,10000,Shimla,First Owner,1984,Automatic,241.3,N/A,14.11,2023
2018 Maruti Baleno 1.2 Delta,Maruti Baleno,https://www.cardekho.com/used-car-details/used-Maruti-baleno-12-delta-cars-New-Delhi_72a2d19b-6194-467c-a9f9-8d25bc5131c9.htm?adId=1671&adType=41,4.75,"Naraina, New Delhi",New Delhi,Jul 2018,Comprehensive,Petrol,5,66000,Gurgaon,Second Owner,1197,Manual,83.1,N/A,21.4,2018
2015 Honda Amaze S i-Vtech,Honda Amaze,https://www.cardekho.com/used-car-details/used-Honda-amaze-s-i-vtech-cars-New-Delhi_3726a1a6-9bef-40b6-9086-83c566aa8ef7.htm,3.5,"Ip Extension, New Delhi",New Delhi,Jun 2015,Comprehensive,Petrol,5,46000,New Delhi,First Owner,1198,Manual,86.7,N/A,18.0,2015
2014 Honda City i VTEC S,Honda City,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-s-cars-New-Delhi_d701cdda-23cc-4ff2-bb0a-019bf5152e10.htm,3.65,"Saket, New Delhi",New Delhi,Sept 2014,Expired,Petrol,5,77000,New Delhi,First Owner,1497,Manual,117.3,N/A,17.4,2014
2022 Maruti Vitara Brezza VXI,Maruti Vitara,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-vxi-cars-New-Delhi_1386bc63-549f-4dec-b56b-d48c99cc10c6.htm,7.6,"Shakti Nagar, New Delhi",New Delhi,Mar 2022,Comprehensive,Petrol,5,22000,Noida,First Owner,1462,Manual,103.26,FWD,17.03,2022
2018 Honda Brio 1.2 S MT,Honda Brio,https://www.cardekho.com/used-car-details/used-Honda-brio-12-s-mt-cars-New-Delhi_253cb48f-00dd-4d9d-a74c-33830fbaac10.htm?adId=1681&adType=41,3.85,"Rohini Courts, New Delhi",New Delhi,Jan 2018,Comprehensive,Petrol,5,37085,New Delhi,First Owner,1198,Manual,86.8,N/A,18.5,2018
2016 Maruti Celerio VXI AT,Maruti Celerio,https://www.cardekho.com/used-car-details/used-Maruti-celerio-vxi-at-cars-New-Delhi_6d66ae86-141e-4c8a-9b29-6f17cd1bb89d.htm,3.4,"Preet Vihar, New Delhi",New Delhi,Mar 2016,Expired,Petrol,5,52000,Noida,First Owner,998,Automatic,67.04,N/A,23.1,2016
2021 Kia Seltos HTK Plus G,Kia Seltos,https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-plus-g-cars-New-Delhi_dada0592-ca2b-4698-9b61-3efa6cd487b1.htm,11.25,"Preet Vihar, New Delhi",New Delhi,Aug 2021,Comprehensive,Petrol,5,23000,New Delhi,First Owner,1497,Manual,113.43,FWD,16.8,2021
2023 Hyundai Creta SX,Hyundai Creta,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-cars-New-Delhi_77beb226-b2af-439c-9188-15e8415204dd.htm,14.9,"Preet Vihar, New Delhi",New Delhi,Nov 2023,Comprehensive,Petrol,5,20000,New Delhi,Second Owner,1497,Manual,113.18,2WD,17.0,2023
2018 Mahindra Scorpio S7 140 BSIV,Mahindra Scorpio,https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s7-140-bsiv-cars-New-Delhi_d1794bdf-8989-4695-a616-ee6d3ae3858e.htm?adId=1624&adType=41,10.9,"Preet Vihar, New Delhi",New Delhi,Jan 2019,Comprehensive,Diesel,7,65000,Ghaziabad,First Owner,2179,Manual,140.0,RWD,16.36,2018
2016 Ford Ecosport 1.5 Diesel Titanium,Ford Ecosport,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-diesel-titanium-cars-New-Delhi_00641005-dbfd-44ba-b9b9-28e1cc82421c.htm,4.0,"Shakti Nagar, New Delhi",New Delhi,May 2016,Comprehensive,Diesel,5,72000,New Delhi,First Owner,1498,Manual,98.96,FWD,21.7,2016
2023 Audi A6 45 TFSI Technology WO Matrix BSVI,Audi A6,https://www.cardekho.com/used-car-details/used-Audi-a6-45-tfsi-technology-wo-matrix-bsvi-cars-New-Delhi_2733506f-53a7-421f-a52f-23c7f455cd74.htm,52.0,"Ashok Vihar, New Delhi",New Delhi,Mar 2023,Comprehensive,Petrol,5,3000,New Delhi,First Owner,1984,Automatic,241.3,N/A,14.11,2023
2017 Honda Jazz 1.2 S i VTEC,Honda Jazz,https://www.cardekho.com/used-car-details/used-Honda-jazz-12-s-i-vtec-cars-New-Delhi_02715f61-07a8-40a4-9ca8-a0f07838a154.htm,4.0,"Ashok Vihar, New Delhi",New Delhi,Jul 2017,Comprehensive,Petrol,5,50000,New Delhi,First Owner,1199,Manual,88.7,N/A,18.7,2017
2017 Mini Cooper Clubman Cooper S,Mini Cooper,https://www.cardekho.com/used-car-details/used-Mini-cooper-clubman-cooper-s-cars-New-Delhi_1e948c5e-8657-48a1-8c2a-741449728eb3.htm?adId=144&adType=41,26.25,"Naraina, New Delhi",New Delhi,Jul 2017,Expired,Petrol,5,22000,New Delhi,Second Owner,1998,Automatic,192.0,N/A,13.79,2017
2021 Renault Triber RXT BSVI,Renault Triber,https://www.cardekho.com/used-car-details/used-Renault-triber-rxt-bsvi-cars-New-Delhi_5762454b-e19b-4e69-964e-92ba5c080665.htm,5.48,"Ip Extension, New Delhi",New Delhi,Jul 2021,Comprehensive,Petrol,7,51000,Noida,First Owner,999,Manual,71.01,N/A,20.0,2021
2018 Tata Tiago 1.2 Revotron XZ,Tata Tiago,https://www.cardekho.com/used-car-details/used-Tata-tiago-12-revotron-xz-cars-New-Delhi_bc31f82c-5235-45ed-bcb4-941e1d1f73f3.htm,3.6,"Preet Vihar, New Delhi",New Delhi,Jun 2018,Comprehensive,Petrol,5,64000,New Delhi,First Owner,1199,Manual,84.0,N/A,23.84,2018
2015 Honda Brio VX AT,Honda Brio,https://www.cardekho.com/used-car-details/used-Honda-brio-vx-at-cars-New-Delhi_12740418-7295-4274-a2c4-507a5830955d.htm,3.75,"Bengali Market, New Delhi",New Delhi,Feb 2015,Expired,Petrol,5,48000,New Delhi,First Owner,1198,Automatic,86.8,N/A,16.5,2015
2020 Maruti Wagon R LXI CNG Optional,Maruti Wagon,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-lxi-cng-optional-cars-New-Delhi_983b5548-6311-4c12-afe0-c310540cc3cf.htm?adId=1648&adType=41,4.65,"Distt. Court Complex Dwarka, New Delhi",New Delhi,Feb 2020,Expired,CNG,5,55000,New Delhi,First Owner,998,Manual,58.16,N/A,N/A,2020
2016 Honda City i VTEC VX,Honda City,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-vx-cars-New-Delhi_d3d271e3-c629-49b1-b99d-410844147f49.htm,5.85,"Preet Vihar, New Delhi",New Delhi,Mar 2016,Comprehensive,Petrol,5,52000,New Delhi,First Owner,1497,Manual,117.3,N/A,17.8,2016
2022 Maruti XL6 Alpha AT,Maruti XL6,https://www.cardekho.com/used-car-details/used-Maruti-xl6-alpha-at-cars-New-Delhi_29b8bf05-7f2d-4a13-8233-37b430b1190e.htm,10.95,"Prashant Vihar, New Delhi",New Delhi,Jan 2022,Comprehensive,Petrol,6,24981,New Delhi,First Owner,1462,Automatic,101.64,N/A,N/A,2022
2019 Hyundai Creta 1.6 EX Diesel,Hyundai Creta,https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-ex-diesel-cars-New-Delhi_e8222504-69ee-4945-a68a-452064b729bf.htm,7.95,"Saraswati Vihar, New Delhi",New Delhi,Jan 2020,Comprehensive,Diesel,5,80000,Noida,First Owner,1582,Manual,126.2,FWD,20.5,2019
2018 Mercedes-Benz GLE 250d,Mercedes-Benz GLE,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gle-250d-cars-New-Delhi_1942eddc-4936-4245-bc96-687b60dfd673.htm?adId=139&adType=41,32.5,"Naraina, New Delhi",New Delhi,Jul 2018,Comprehensive,Diesel,5,84000,Solan,First Owner,2143,Automatic,201.15,AWD,17.9,2018
2024 Mercedes-Benz GLS 450d 4matic,Mercedes-Benz GLS,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gls-450d-4matic-cars-New-Delhi_96233893-c827-4336-894b-4c401ca676fd.htm,135.0,"Naraina, New Delhi",New Delhi,Mar 2024,Zero Dep,Diesel,7,14000,Ambala,First Owner,2925,Automatic,362.07,AWD,12.0,2024
2023 Kia Carens Luxury Plus iMT BSVI,Kia Carens,https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-plus-imt-bsvi-cars-New-Delhi_cba287a8-b5bd-43e5-8d4d-dab9f3e9f6ca.htm,17.35,"Ashok Vihar, New Delhi",New Delhi,Jul 2023,Comprehensive,Petrol,7,7800,HR98,First Owner,1482,Automatic,157.81,N/A,N/A,2023
2022 BMW X6 Xdrive40i M Sport,BMW X6,https://www.cardekho.com/used-car-details/used-Bmw-x6-xdrive40i-m-sport-cars-New-Delhi_df4aace0-e8db-4583-b8c6-778d31e86993.htm,98.0,"Naraina, New Delhi",New Delhi,Mar 2022,Expired,Petrol,5,25000,Chandigarh,First Owner,2998,Automatic,335.25,AWD,10.31,2022
2016 Audi Q7 45 TDI Quattro Technology,Audi Q7,https://www.cardekho.com/used-car-details/used-Audi-q7-45-tdi-quattro-technology-cars-New-Delhi_d352a5be-48f7-45c9-929d-41c869e08412.htm?adId=34&adType=41,32.73,"Naraina, New Delhi",New Delhi,May 2016,Expired,Diesel,7,79000,Dehradun,First Owner,2967,Automatic,245.0,AWD,14.75,2016
2019 Renault KWID 1.0 RXT,Renault KWID,https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxt-cars-New-Delhi_0863a4bd-0ebf-48b4-96c0-9dcab8b3f6ef.htm,3.75,"Dwarka Sector-6, New Delhi",New Delhi,Jan 2020,Comprehensive,Petrol,5,19000,Yamuna Nagar,First Owner,999,Manual,67.0,N/A,23.01,2019
2016 Honda City i VTEC VX Option,Honda City,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-vx-option-cars-New-Delhi_e57a6430-66ee-405e-993a-8634f87c576e.htm,5.7,"Sector 6 - Rohini, New Delhi",New Delhi,Jan 2016,Comprehensive,Petrol,5,63000,New Delhi,First Owner,1497,Manual,117.3,N/A,17.8,2016
2018 Hyundai Grand i10 1.2 Kappa Sportz Option AT,Hyundai Grand,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-option-at-cars-New-Delhi_8ad73877-2eda-4fa4-97c7-f3b467cc46f7.htm,4.6,"Shakti Nagar, New Delhi",New Delhi,May 2018,Comprehensive,Petrol,5,35000,New Delhi,First Owner,1197,Automatic,81.86,N/A,18.9,2018
